Date,Open,High,Low,Close
2011-04-24,2.601,2.601,2.601,2.601
2011-05-01,2.567,2.567,2.567,2.567
2011-05-08,2.436,2.436,2.436,2.436
2011-05-15,2.417,2.417,2.417,2.417
2011-05-22,2.238,2.238,2.238,2.238
2011-05-29,2.344,2.344,2.344,2.344
2011-06-05,2.187,2.187,2.187,2.187
2011-06-12,2.161,2.161,2.161,2.161
2011-06-19,2.004,2.004,2.004,2.004
2011-06-26,2.309,2.309,2.309,2.309
2011-07-03,2.027,2.027,2.027,2.027
2011-07-10,1.856,1.856,1.856,1.856
2011-07-17,2.006,2.006,2.006,2.006
2011-07-24,1.729,1.729,1.729,1.729
2011-07-31,1.49,1.49,1.49,1.49
2011-08-07,1.413,1.413,1.413,1.413
2011-08-14,1.208,1.208,1.208,1.208
2011-08-21,1.222,1.222,1.222,1.222
2011-08-28,1.09,1.09,1.09,1.09
2011-09-04,0.872,0.872,0.872,0.872
2011-09-11,1.004,1.004,1.004,1.004
2011-09-18,0.906,0.906,0.906,0.906
2011-09-25,1.163,1.163,1.163,1.163
2011-10-02,1.254,1.254,1.254,1.254
2011-10-09,1.386,1.386,1.386,1.386
2011-10-16,1.33,1.33,1.33,1.33
2011-10-23,1.319,1.319,1.319,1.319
2011-10-30,0.96,0.96,0.96,0.96
2011-11-06,1.003,1.003,1.003,1.003
2011-11-13,1.094,1.094,1.094,1.094
2011-11-20,1.235,1.235,1.235,1.235
2011-11-27,1.074,1.074,1.074,1.074
2011-12-04,1.018,1.018,1.018,1.018
2011-12-11,0.836,0.836,0.836,0.836
2011-12-18,0.881,0.881,0.881,0.881
2011-12-25,0.744,0.744,0.744,0.744
2012-01-01,0.778,0.778,0.778,0.778
2012-01-08,0.745,0.745,0.745,0.745
2012-01-15,0.899,0.899,0.899,0.899
2012-01-22,0.823,0.823,0.823,0.823
2012-01-29,0.88,0.88,0.88,0.88
2012-02-05,0.891,0.891,0.891,0.891
2012-02-12,0.913,0.913,0.913,0.913
2012-02-19,0.849,0.849,0.849,0.849
2012-02-26,0.797,0.797,0.797,0.797
2012-03-04,0.781,0.781,0.781,0.781
2012-03-11,1.079,1.079,1.079,1.079
2012-03-18,0.893,0.893,0.893,0.893
2012-03-25,0.814,0.814,0.814,0.814
2012-04-01,0.719,0.719,0.719,0.719
2012-04-08,0.656,0.656,0.656,0.656
2012-04-15,0.687,0.687,0.687,0.687
2012-04-22,0.632,0.632,0.632,0.632
2012-04-29,0.551,0.551,0.551,0.551
2012-05-06,0.556,0.556,0.556,0.556
2012-05-13,0.493,0.493,0.493,0.493
2012-05-20,0.454,0.454,0.454,0.454
2012-05-27,0.332,0.332,0.332,0.332
2012-06-03,0.442,0.442,0.442,0.442
2012-06-10,0.516,0.516,0.516,0.516
2012-06-17,0.643,0.643,0.643,0.643
2012-06-24,0.633,0.633,0.633,0.633
2012-07-01,0.351,0.351,0.351,0.351
2012-07-08,0.309,0.309,0.309,0.309
2012-07-15,0.24,0.24,0.24,0.24
2012-07-22,0.416,0.416,0.416,0.416
2012-07-29,0.385,0.446,0.269,0.42
2012-08-05,0.43,0.451,0.33,0.346
2012-08-12,0.352,0.513,0.332,0.416
2012-08-19,0.446,0.5,0.325,0.368
2012-08-26,0.344,0.401,0.315,0.344
2012-09-02,0.33,0.535,0.32,0.449
2012-09-09,0.454,0.712,0.426,0.711
2012-09-16,0.692,0.727,0.567,0.595
2012-09-23,0.576,0.622,0.496,0.507
2012-09-30,0.526,0.581,0.498,0.572
2012-10-07,0.536,0.561,0.491,0.502
2012-10-14,0.502,0.669,0.5,0.628
2012-10-21,0.623,0.666,0.516,0.54
2012-10-28,0.521,0.53,0.46,0.465
2012-11-04,0.457,0.465,0.336,0.363
2012-11-11,0.366,0.394,0.336,0.339
2012-11-18,0.36,0.454,0.355,0.438
2012-11-25,0.436,0.471,0.371,0.406
2012-12-02,0.4,0.464,0.281,0.293
2012-12-09,0.289,0.351,0.255,0.336
2012-12-16,0.37,0.429,0.342,0.349
2012-12-23,0.365,0.373,0.28,0.285
2012-12-30,0.345,0.543,0.333,0.526
2013-01-06,0.517,0.659,0.449,0.636
2013-01-13,0.623,0.699,0.564,0.618
2013-01-20,0.629,0.752,0.567,0.732
2013-01-27,0.743,0.834,0.69,0.721
2013-02-03,0.77,0.77,0.605,0.632
2013-02-10,0.617,0.734,0.617,0.657
2013-02-17,0.654,0.684,0.551,0.559
2013-02-24,0.563,0.623,0.396,0.406
2013-03-03,0.399,0.551,0.399,0.507
2013-03-10,0.475,0.501,0.416,0.429
2013-03-17,0.359,0.398,0.33,0.385
2013-03-24,0.403,0.407,0.266,0.306
2013-03-31,0.298,0.355,0.26,0.289
2013-04-07,0.29,0.396,0.287,0.318
2013-04-14,0.318,0.375,0.287,0.328
2013-04-21,0.336,0.364,0.278,0.303
2013-04-28,0.307,0.352,0.267,0.33
2013-05-05,0.334,0.449,0.306,0.449
2013-05-12,0.444,0.446,0.331,0.353
2013-05-19,0.379,0.49,0.363,0.441
2013-05-26,0.435,0.546,0.428,0.499
2013-06-02,0.493,0.601,0.488,0.592
2013-06-09,0.595,0.709,0.532,0.537
2013-06-16,0.557,0.821,0.531,0.816
2013-06-23,0.827,0.939,0.707,0.733
2013-06-30,0.742,0.776,0.548,0.646
2013-07-07,0.622,0.64,0.528,0.55
2013-07-14,0.558,0.596,0.486,0.513
2013-07-21,0.505,0.678,0.495,0.645
2013-07-28,0.64,0.734,0.583,0.651
2013-08-04,0.649,0.709,0.631,0.67
2013-08-11,0.666,0.853,0.665,0.812
2013-08-18,0.844,0.951,0.781,0.895
2013-08-25,0.897,0.902,0.789,0.822
2013-09-01,0.848,1.116,0.848,1.015
2013-09-08,1.02,1.099,0.977,0.99
2013-09-15,0.947,1.026,0.84,0.939
