Month,Total Outstanding (bln),<=1 Year,%,1-5 Years,%,5-10 Years,%,10-20 Years,%,20+ Years,%,Avg Length (months)
2016-05-31,13378.4,3410.1,25.0,5585.2,42.0,2636.0,20.0,278.1,2.0,1469.0,11.0,70.0
2016-06-30,13417.7,3388.9,25.0,5601.3,42.0,2661.3,20.0,278.7,2.0,1487.5,11.0,70.0
2016-07-31,13481.3,3550.6,26.0,5520.3,41.0,2630.4,20.0,279.1,2.0,1500.9,11.0,70.0
2016-08-31,13586.0,3507.4,26.0,5669.2,42.0,2620.7,19.0,270.7,2.0,1517.9,11.0,70.0
2016-09-30,13647.5,3513.6,26.0,5681.2,42.0,2652.5,19.0,270.5,2.0,1529.7,11.0,70.0
2016-10-31,13757.0,3610.2,26.0,5655.4,41.0,2673.5,19.0,270.6,2.0,1547.2,11.0,69.0
2016-11-30,13908.4,3705.6,27.0,5749.8,41.0,2627.0,19.0,260.0,2.0,1565.9,11.0,69.0
2016-12-31,13908.2,3737.2,27.0,5714.1,41.0,2618.7,19.0,260.2,2.0,1578.1,11.0,69.0
2017-01-31,13850.7,3574.4,26.0,5784.4,42.0,2661.1,19.0,240.3,2.0,1590.5,11.0,70.0
2017-02-28,13885.8,3582.4,26.0,5832.3,42.0,2625.1,19.0,247.4,2.0,1598.7,12.0,70.0
2017-03-31,13953.6,3583.4,26.0,5848.1,42.0,2662.5,19.0,247.9,2.0,1611.6,12.0,70.0
2017-04-30,13937.4,3711.5,27.0,5698.4,41.0,2655.1,19.0,248.2,2.0,1624.2,12.0,70.0
2017-05-31,13969.6,3583.4,26.0,5829.7,42.0,2663.8,19.0,269.7,2.0,1623.0,12.0,71.0
2017-06-30,13997.9,3552.1,25.0,5847.0,42.0,2687.6,19.0,270.0,2.0,1641.1,12.0,71.0
2017-07-31,14048.6,3593.2,26.0,5850.7,42.0,2681.1,19.0,270.1,2.0,1653.6,12.0,71.0
2017-08-31,14082.0,3580.5,25.0,5922.9,42.0,2644.4,19.0,261.0,2.0,1673.2,12.0,71.0
2017-09-30,14188.3,3724.0,26.0,5872.1,41.0,2646.1,19.0,260.9,2.0,1685.1,12.0,70.0
2017-10-31,14262.1,3687.3,26.0,5912.1,41.0,2698.7,19.0,261.2,2.0,1702.8,12.0,70.0
2017-11-30,14426.0,3840.6,27.0,5937.3,41.0,2687.8,19.0,239.6,2.0,1720.6,12.0,70.0
2017-12-31,14468.7,3919.0,27.0,5899.0,41.0,2678.6,19.0,239.6,2.0,1732.5,12.0,70.0
2018-01-31,14503.0,3839.6,26.0,5974.3,41.0,2723.0,19.0,221.2,2.0,1744.9,12.0,70.0
2018-02-28,14666.4,3978.8,27.0,6025.7,41.0,2668.2,18.0,243.7,2.0,1750.0,12.0,70.0
2018-03-31,14933.4,4284.1,29.0,5973.1,40.0,2668.1,18.0,244.1,2.0,1764.0,12.0,69.0
2018-04-30,14838.4,4061.7,27.0,6031.5,41.0,2748.6,19.0,218.6,1.0,1777.9,12.0,70.0
2018-05-31,14927.9,4099.5,27.0,6082.1,41.0,2728.0,18.0,244.2,2.0,1774.0,12.0,70.0
2018-06-30,14972.2,4167.3,28.0,6046.5,40.0,2720.1,18.0,244.4,2.0,1793.8,12.0,70.0
2018-07-31,15074.9,4122.5,27.0,6149.8,41.0,2749.3,18.0,244.7,2.0,1808.7,12.0,70.0
2018-08-31,15291.4,4306.6,28.0,6216.3,41.0,2706.0,18.0,233.0,2.0,1829.5,12.0,69.0
2018-09-30,15267.6,4298.9,28.0,6180.8,40.0,2710.4,18.0,233.0,2.0,1844.5,12.0,69.0
2018-10-31,15347.5,4222.0,28.0,6261.8,41.0,2766.0,18.0,233.0,2.0,1864.7,12.0,69.0
2018-11-30,15549.7,4362.2,28.0,6317.7,41.0,2759.9,18.0,222.1,1.0,1887.8,12.0,69.0
2018-12-31,15607.9,4312.2,28.0,6384.1,41.0,2785.1,18.0,222.2,1.0,1904.2,12.0,69.0
2019-01-31,15609.4,4285.1,27.0,6404.4,41.0,2795.0,18.0,205.4,1.0,1919.5,12.0,69.0
2019-02-28,15759.3,4396.7,28.0,6444.0,41.0,2773.8,18.0,219.9,1.0,1924.9,12.0,70.0
2019-03-31,15928.6,4580.1,29.0,6409.0,40.0,2778.3,17.0,219.9,1.0,1941.3,12.0,69.0
2019-04-30,15870.5,4403.2,28.0,6452.0,41.0,2867.1,18.0,190.1,1.0,1958.2,12.0,70.0
2019-05-31,15930.8,4397.1,28.0,6502.0,41.0,2856.7,18.0,228.9,1.0,1946.1,12.0,70.0
2019-06-30,15922.3,4396.8,28.0,6481.0,41.0,2852.3,18.0,229.0,1.0,1963.2,12.0,70.0
2019-07-31,15959.3,4297.3,27.0,6568.7,41.0,2884.5,18.0,229.0,1.0,1979.8,12.0,70.0
2019-08-31,16137.4,4529.8,28.0,6525.8,40.0,2845.6,18.0,259.2,2.0,1977.0,12.0,70.0
2019-09-30,16338.5,4492.0,27.0,6670.1,41.0,2923.8,18.0,259.3,2.0,1993.3,12.0,70.0
2019-10-31,16505.2,4597.6,28.0,6684.6,40.0,2954.4,18.0,259.3,2.0,2009.3,12.0,70.0
2019-11-30,16618.9,4757.2,29.0,6663.4,40.0,2901.5,17.0,303.8,2.0,1992.9,12.0,69.0
2019-12-31,16673.3,4578.4,27.0,6816.8,41.0,2964.7,18.0,303.8,2.0,2009.5,12.0,70.0
2020-01-31,16711.1,4602.8,28.0,6853.5,41.0,2925.2,18.0,303.8,2.0,2025.9,12.0,70.0
2020-02-29,16909.6,4880.1,29.0,6812.4,40.0,2852.2,17.0,366.8,2.0,1998.2,12.0,70.0
2020-03-31,17153.9,4890.5,29.0,6950.8,41.0,2930.8,17.0,366.9,2.0,2015.0,12.0,69.0
2020-04-30,18526.7,6254.1,34.0,6910.4,37.0,2962.7,16.0,366.9,2.0,2032.6,11.0,65.0
2020-05-31,19223.2,7004.7,36.0,6864.8,36.0,2937.9,15.0,393.3,2.0,2022.4,11.0,63.0
2020-06-30,19898.6,7366.8,37.0,7038.3,35.0,3018.7,15.0,434.6,2.0,2040.2,10.0,62.0
